Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3194.25,30-05-2024 05:30,3274.3,3174.5,2024-05,3254,1990208,Energy
ADANIENT,3411.35,31-05-2024 05:30,3434.45,3225.25,2024-05,3225.25,6384589,Energy
ADANIENT,3645.25,03-06-2024 05:30,3743.9,3586.05,2024-06,3725,8511359,Energy
ADANIENT,2941.25,04-06-2024 05:30,3520,2733.95,2024-06,3520,20306909,Energy
ADANIENT,3115.35,05-06-2024 05:30,3150,2750,2024-06,3030,8778345,Energy
ADANIENT,3185.65,06-06-2024 05:30,3222.4,3137.15,2024-06,3184,5873271,Energy
ADANIENT,3219.55,07-06-2024 05:30,3233.75,3151.6,2024-06,3170.4,4740455,Energy
ADANIENT,3220.1,10-06-2024 05:30,3284.4,3205.5,2024-06,3267,4935698,Energy
ADANIENT,3221.25,11-06-2024 05:30,3265,3195.05,2024-06,3224,4173692,Energy
ADANIENT,3219.05,12-06-2024 05:30,3245,3208,2024-06,3224.9,3022477,Energy
ADANIENT,3224.8,13-06-2024 05:30,3254,3207.25,2024-06,3230,3202978,Energy
ADANIENT,3261.75,14-06-2024 05:30,3275,3221.1,2024-06,3225,4224855,Energy
ADANIENT,3309.05,18-06-2024 05:30,3345,3287.2,2024-06,3310,1755612,Energy
ADANIENT,3261.9,19-06-2024 05:30,3314,3226.3,2024-06,3314,1419264,Energy
ADANIENT,3259.45,20-06-2024 05:30,3315,3240,2024-06,3263.9,1366545,Energy
ADANIENT,3189.3,21-06-2024 05:30,3277.1,3176.4,2024-06,3265.05,4697655,Energy
ADANIENT,3194.6,24-06-2024 05:30,3214.8,3135,2024-06,3185.75,3261647,Energy
ADANIENT,3171.1,25-06-2024 05:30,3208.45,3156.35,2024-06,3204.75,1694962,Energy
ADANIENT,3170.5,26-06-2024 05:30,3187.7,3163.9,2024-06,3169.05,2142889,Energy
ADANIENT,3175.15,27-06-2024 05:30,3202.25,3150,2024-06,3177,5114980,Energy
ADANIENT,3177.15,28-06-2024 05:30,3211.95,3157,2024-06,3190,960905,Energy
ADANIENT,3183.8,01-07-2024 05:30,3193.15,3157.55,2024-07,3179.95,832170,Energy
ADANIENT,3153.2,02-07-2024 05:30,3207.8,3131.05,2024-07,3179.85,1490844,Energy
